拼音声调,2075北京话音系,UntPhesoca宽,UntPhesoca严,Standard Chinese (Beijing),Standard Chinese (Beijing)严,胡裕树《现代汉语》,黄伯荣、廖序东《现代汉语》,钱乃荣《现代汉语》,吴宗济,赵元任《汉语口语语法》,《汉语方音字汇》
a,ɜ,a,ä,a,a̠,ᴀ,ᴀ,ᴀ,ᴀ,ᴀ,ᴀ
ai,ɜɛ̯,aɪ,a̠ɪ̯,ai,aɪ,ai,ai,aⁱ,ae,ai,æɪ
an,ɜɹ̃,an,a̠n̚,an,a̝n,an,an,æⁿ,an,an,an
ang,ʌɰ̃,ɑŋ,ɑ̟ŋ̚,aŋ,a̝ŋ,aŋ,ɑŋ,ɑᵑ,ɑŋ,ɑŋ,ɑŋ
ao,ʌɔ̯,ɑʊ,ɑ̟ʊ̯,au,a̝ʊ,au,ɑu,ɑᵘ,ɑo,ɑu,ɑʊ
ba,pɜ,pa,b̥ä,pa,pa̠,pᴀ,pᴀ,pᴀ,pᴀ,b̥ᴀ,pᴀ
bai,pɜɛ̯,paɪ,b̥a̠ɪ̯,pai,paɪ,pai,pai,paⁱ,pae,b̥ai,pæɪ
ban,pɜɹ̃,pan,b̥a̠n̚,pan,pa̝n,pan,pan,pæⁿ,pan,b̥an,pan
bang,pʌɰ̃,pɑŋ,b̥ɑ̟ŋ̚,paŋ,pa̝ŋ,paŋ,pɑŋ,pɑᵑ,pɑŋ,b̥ɑŋ,pɑŋ
bao,pʌɔ̯,pɑʊ,b̥ɑ̟ʊ̯,pau,pa̝ʊ,pau,pɑu,pɑᵘ,pɑo,b̥ɑu,pɑʊ
bei,pɛe̯,peɪ,b̥e̽ɪ̯,pei,pe̠i,pei,pei,peⁱ,peɪ,b̥ei,peɪ
ben,pɘ̯ɹ̩̃,pən,b̥ə̟n̚,pən,pən,pən,pən,pəⁿ,pən,b̥ən,pən
beng,pɤ̯ɯ̃,pɤŋ,b̥ɤ̽ŋ̚,pəŋ,pəŋ,pəŋ,pəŋ,pəᵑ,pəŋ,b̥ʌŋ,pʌŋ
bi,pi̞,pi,b̥i,pi,pi,pi,pi,pi,pi,b̥i,pi
bian,pɪɹ̃,pjɛn,b̥jɛ̠n̚,pien,pie̞n,pian,piɛn,piɛⁿ,piɛn,b̥iɛn,piɛn
biao,pjəɔ̯,pjɑʊ,b̥jɑ̟ʊ̯,piau,pia̝u,piau,piɑu,piɑᵘ,piɑʊ,b̥iɑu,piɑʊ
bie,pɪ,pjɛ,b̥je̞ɛ̠̑,pie,pie̞,piɛ,piɛ,piɛ,piᴇ,b̥iɛ,piᴇ
bin,pȋ̞ɹ̩̃,pin,b̥ji̞n̚,pin,pin,pin,pin,piɪⁿ,pin,b̥in,pin
bing,pjɘ̯ɯ̃,piŋ,b̥jɪŋ̚,piŋ,piŋ,piŋ,piŋ,piɪᵑ,piəŋ,b̥iŋ,piᵊŋ
bo,pʊ,po,b̥wo̜̽,puo,puo̟,po,po,po,pʊo̞,b̥o,pᵘo̞͑
bu,poʊ̯,pu,b̥u,pu,pu,pu,pu,pu,pu,b̥u,pu
ca,t͡sʰɜ,t͡sʰa,t͡s̟ʰä,tsʰa,tsʰa̠,tsʻᴀ,tsʻᴀ,tsʻᴀ,tsʻᴀ,tsʰᴀ,tsʻᴀ
cai,t͡sʰɜɛ̯,t͡sʰaɪ,t͡s̟ʰa̠ɪ̯,tsʰai,tsʰaɪ,tsʻai,tsʻai,tsʻaⁱ,tsʻae,tsʰai,tsʻæɪ
can,t͡sʰɜɹ̃,t͡sʰan,t͡s̟ʰa̠n̚,tsʰan,tsʰa̝n,tsʻan,tsʻan,tsʻæⁿ,tsʻan,tsʰan,tsʻan
cang,t͡sʰʌɰ̃,t͡sʰɑŋ,t͡s̟ʰɑ̟ŋ̚,tsʰaŋ,tsʰa̝ŋ,tsʻaŋ,tsʻɑŋ,tsʻɑᵑ,tsʻɑŋ,tsʰɑŋ,tsʻɑŋ
cao,t͡sʰʌɔ̯,t͡sʰɑʊ,t͡s̟ʰɑ̟ʊ̯,tsʰau,tsʰa̝ʊ,tsʻau,tsʻɑu,tsʻɑᵘ,tsʻɑo,tsʰɑu,tsʻɑʊ
ce,t͡sʰɯ̽,t͡sʰɤ,t͡s̟ʰɤʌ̟̑,tsʰɤ,tsʰɤʌ̯,tsʻɤ,tsʻɤ,tsʻɤ,tsʻɤᶺ,tsʰɤ,tsʻɤᶺ
cen,t͡sʰɘ̯ɹ̩̃,t͡sʰən,t͡s̟ʰə̟n̚,tsʰən,tsʰən,tsʻən,tsʻən,tsʻəⁿ,tsʻən,tsʰən,tsʻən
ceng,t͡sʰɤ̯ɯ̃,t͡sʰɤŋ,t͡s̟ʰɤ̽ŋ̚,tsʰəŋ,tsʰəŋ,tsʻəŋ,tsʻəŋ,tsʻəᵑ,tsʻəŋ,tsʰʌŋ,tsʻʌŋ
cha,t͡ʂʰɜ,t͡ʂʰa,t͡ʂ̺ʰä,tʃ̺ʰa,tʃ̺ʰa̠,tʂʻᴀ,tʂʻᴀ,tʂʻᴀ,tʂʻᴀ,tʂʰᴀ,tʂʻᴀ
chai,t͡ʂʰɜɛ̯,t͡ʂʰaɪ,t͡ʂ̺ʰa̠ɪ̯,tʃ̺ʰai,tʃ̺ʰaɪ,tʂʻai,tʂʻai,tʂʻaⁱ,tʂʻae,tʂʰai,tʂʻæɪ
chan,t͡ʂʰɜɹ̃,t͡ʂʰan,t͡ʂ̺ʰa̠n̚,tʃ̺ʰan,tʃ̺ʰa̝n,tʂʻan,tʂʻan,tʂʻæⁿ,tʂʻan,tʂʰan,tʂʻan
chang,t͡ʂʰʌɰ̃,t͡ʂʰɑŋ,t͡ʂ̺ʰɑ̟ŋ̚,tʃ̺ʰaŋ,tʃ̺ʰa̝ŋ,tʂʻaŋ,tʂʻɑŋ,tʂʻɑᵑ,tʂʻɑŋ,tʂʰɑŋ,tʂʻɑŋ
chao,t͡ʂʰʌɔ̯,t͡ʂʰɑʊ,t͡ʂ̺ʰɑ̟ʊ̯,tʃ̺ʰau,tʃ̺ʰa̝ʊ,tʂʻau,tʂʻɑu,tʂʻɑᵘ,tʂʻɑo,tʂʰɑu,tʂʻɑʊ
che,t͡ʂʰɯ̽,t͡ʂʰɤ,t͡ʂ̺ʰɤʌ̟̑,tʃ̺ʰɤ,tʃ̺ʰɤʌ̯,tʂʻɤ,tʂʻɤ,tʂʻɤ,tʂʻɤᶺ,tʂʰɤ,tʂʻɤᶺ
chen,t͡ʂʰɘ̯ɹ̩̃,t͡ʂʰən,t͡ʂ̺ʰə̟n̚,tʃ̺ʰən,tʃ̺ʰən,tʂʻən,tʂʻən,tʂʻəⁿ,tʂʻən,tʂʰən,tʂʻən
cheng,t͡ʂʰɤ̯ɯ̃,t͡ʂʰɤŋ,t͡ʂ̺ʰɤ̽ŋ̚,tʃ̺ʰəŋ,tʃ̺ʰəŋ,tʂʻəŋ,tʂʻəŋ,tʂʻəᵑ,tʂʻəŋ,tʂʰʌŋ,tʂʻʌŋ
